113	124481	14.72	3.02	22.62	20.5
117	271	50.65	0.23	56.54	0.4
12	2793	23.70	3.31	31.68	14.0
120	34	41.37	3.17	49.93	7.7
124	348	53.35	5.00	61.95	9.4
128	43	26.79	3.11	34.20	11.6
131	337	31.01	0.49	34.60	1.6
135	411	26.79	0.56	30.06	2.1
139	264	42.96	0.58	47.03	1.4
142	298914	13.91	2.86	21.67	20.6
146	4249	18.49	2.23	24.23	12.1
153	73	25.25	0.58	28.38	2.3
157	710	44.18	6.96	57.01	15.8
16	97	33.07	0.52	36.07	1.6
160	156	40.02	4.42	48.31	11.1
164	210022	15.51	3.00	23.80	19.4
168	770	23.38	1.57	28.12	6.7
171	100	29.40	0.82	33.69	2.8
175	104	29.21	1.27	32.43	4.4
179	1531	19.27	1.95	24.08	10.1
182	295	27.88	0.42	31.49	1.5
186	324570	16.11	3.06	24.03	19.0
193	1605	20.78	1.57	25.39	7.5
197	840	41.82	2.24	48.36	5.4
201	112	47.92	0.47	53.52	1.0
205	604	31.79	0.31	34.63	1.0
209	14118	21.88	3.92	30.83	17.9
212	137	27.01	0.29	30.33	1.1
216	1270	56.88	6.89	68.28	12.1
223	1529	36.78	5.44	48.34	14.8
227	152	32.03	1.00	35.85	3.1
23	176	57.41	0.54	68.14	0.9
230	307977	17.78	3.34	26.72	18.8
234	252924	14.27	2.93	22.22	20.5
238	185903	14.20	2.80	21.63	19.7
241	236	32.24	0.48	36.18	1.5
245	5	19.52	6.00	32.89	30.7
249	204547	15.02	3.11	23.05	20.7
252	76	42.41	2.78	50.24	6.6
256	2727	22.64	3.58	29.91	15.8
263	189872	13.69	2.71	21.27	19.8
27	2	84.75	0.00	87.22	0.0
3	117	31.41	0.46	35.10	1.5
30	5	21.16	0.91	26.23	4.3
34	140	23.14	4.24	31.10	18.3
38	295	43.84	1.20	48.12	2.7
41	21175	15.34	2.06	20.68	13.5
45	11360	20.51	3.37	28.81	16.4
49	1191	23.21	2.91	28.91	12.5
52	1753	23.09	4.22	30.75	18.3
56	619	46.67	5.95	58.53	12.7
63	284	30.85	2.80	36.50	9.1
67	123	32.89	1.34	40.12	4.1
7	4089	18.89	1.90	23.85	10.0
70	39900	41.17	7.88	60.14	19.1
