SAMEDI-09	39206	16.66	3.00	18.0	653014.70
SAMEDI-10	52031	15.93	2.90	18.2	828941.60
SAMEDI-11	62499	15.86	2.91	18.4	991251.12
SAMEDI-12	70257	16.57	3.01	18.1	1164170.29
SAMEDI-13	73526	17.43	3.12	17.9	1281574.51
SAMEDI-14	74433	18.58	3.26	17.5	1383319.11
SAMEDI-15	77654	18.43	3.26	17.7	1431184.61
SAMEDI-16	80464	18.49	3.28	17.7	1488160.13
SAMEDI-17	82093	18.19	3.22	17.7	1493214.33
SAMEDI-18	84743	17.55	3.17	18.1	1487637.21
SAMEDI-19	83124	17.57	3.16	18.0	1460080.89
SAMEDI-20	68258	17.74	3.29	18.5	1210665.89
SAMEDI-21	68820	18.01	3.37	18.7	1239224.72
SAMEDI-22	75579	18.32	3.48	19.0	1384840.77
SAMEDI-23	74927	18.19	3.42	18.8	1363066.36
VENDREDI-00	37048	19.50	3.56	18.3	722410.96
VENDREDI-01	20630	18.36	3.32	18.1	378729.84
VENDREDI-02	11665	17.52	3.01	17.2	204319.75
VENDREDI-03	6784	19.32	3.15	16.3	131044.14
VENDREDI-04	5719	26.39	4.47	16.9	150919.06
VENDREDI-05	8295	27.98	4.66	16.6	232063.77
VENDREDI-06	20502	23.05	3.80	16.5	472533.02
VENDREDI-07	41588	18.84	3.30	17.5	783704.97
VENDREDI-08	54767	17.55	3.19	18.2	961222.49
VENDREDI-09	60832	18.27	3.29	18.0	1111305.09
VENDREDI-10	63233	18.35	3.23	17.6	1160464.67
VENDREDI-11	66925	18.31	3.24	17.7	1225442.33
VENDREDI-12	72471	18.62	3.32	17.8	1349255.58
VENDREDI-13	76520	19.15	3.38	17.7	1465429.71
VENDREDI-14	85907	20.27	3.58	17.7	1741305.03
VENDREDI-15	87201	19.91	3.50	17.6	1736009.64
VENDREDI-16	86865	19.73	3.80	19.3	1714171.36
VENDREDI-17	98491	18.13	3.64	20.1	1785585.93
VENDREDI-18	103882	16.79	3.46	20.6	1744145.63
VENDREDI-19	100674	16.98	3.46	20.4	1709663.30
VENDREDI-20	80934	17.37	3.34	19.2	1405715.50
VENDREDI-21	80373	17.78	3.44	19.3	1428834.99
VENDREDI-22	84532	18.08	3.49	19.3	1528457.85
VENDREDI-23	79447	18.52	3.52	19.0	1471497.76
